,2000m,2000m ave,60min ave med,60min ave max,60min ave min
98,7:38,1:54.5,2:11.5,2:09.0,2:12.9
99,7:39,1:54.8,2:11.8,2:09.2,2:13.2
100,7:40,1:55.0,2:12.1,2:09.5,2:13.4
101,7:41,1:55.2,2:12.4,2:09.8,2:13.7
102,7:42,1:55.5,2:12.7,2:10.1,2:14.0
103,7:43,1:55.8,2:12.9,2:10.4,2:14.3
104,7:44,1:56.0,2:13.2,2:10.6,2:14.6
105,7:45,1:56.2,2:13.5,2:10.9,2:14.9
106,7:46,1:56.5,2:13.8,2:11.2,2:15.2
107,7:47,1:56.8,2:14.1,2:11.5,2:15.5
108,7:48,1:57.0,2:14.4,2:11.8,2:15.8
109,7:49,1:57.2,2:14.7,2:12.1,2:16.1
110,7:50,1:57.5,2:15.0,2:12.3,2:16.3
111,7:51,1:57.8,2:15.2,2:12.6,2:16.6
112,7:52,1:58.0,2:15.5,2:12.9,2:16.9
113,7:53,1:58.2,2:15.8,2:13.2,2:17.2
114,7:54,1:58.5,2:16.1,2:13.5,2:17.5
115,7:55,1:58.8,2:16.4,2:13.7,2:17.8
116,7:56,1:59.0,2:16.7,2:14.0,2:18.1
117,7:57,1:59.2,2:17.0,2:14.3,2:18.4
118,7:58,1:59.5,2:17.3,2:14.6,2:18.7
119,7:59,1:59.8,2:17.5,2:14.9,2:19.0
120,8:00,2:00.0,2:17.8,2:15.1,2:19.2
121,8:01,2:00.2,2:18.1,2:15.4,2:19.5
122,8:02,2:00.5,2:18.4,2:15.7,2:19.8
123,8:03,2:00.8,2:18.7,2:16.0,2:20.1
124,8:04,2:01.0,2:19.0,2:16.3,2:20.4
125,8:05,2:01.2,2:19.3,2:16.6,2:20.7
126,8:06,2:01.5,2:19.5,2:16.8,2:21.0
127,8:07,2:01.8,2:19.8,2:17.1,2:21.3
128,8:08,2:02.0,2:20.1,2:17.4,2:21.6
129,8:09,2:02.2,2:20.4,2:17.7,2:21.9
130,8:10,2:02.5,2:20.7,2:18.0,2:22.1
131,8:11,2:02.8,2:21.0,2:18.2,2:22.4
132,8:12,2:03.0,2:21.3,2:18.5,2:22.7
133,8:13,2:03.2,2:21.6,2:18.8,2:23.0
134,8:14,2:03.5,2:21.8,2:19.1,2:23.3
135,8:15,2:03.8,2:22.1,2:19.4,2:23.6
136,8:16,2:04.0,2:22.4,2:19.7,2:23.9
137,8:17,2:04.2,2:22.7,2:19.9,2:24.2
138,8:18,2:04.5,2:23.0,2:20.2,2:24.5
139,8:19,2:04.8,2:23.3,2:20.5,2:24.8
140,8:20,2:05.0,2:23.6,2:20.8,2:25.0
141,8:21,2:05.2,2:23.9,2:21.1,2:25.3
142,8:22,2:05.5,2:24.1,2:21.3,2:25.6
143,8:23,2:05.8,2:24.4,2:21.6,2:25.9
144,8:24,2:06.0,2:24.7,2:21.9,2:26.2
145,8:25,2:06.2,2:25.0,2:22.2,2:26.5
146,8:26,2:06.5,2:25.3,2:22.5,2:26.8
147,8:27,2:06.8,2:25.6,2:22.8,2:27.1
148,8:28,2:07.0,2:25.9,2:23.0,2:27.4
149,8:29,2:07.2,2:26.2,2:23.3,2:27.7
